# Common System Properties
System property, Meaning
java.vendor, Vendor-specific string
java.vendor.url, URL of vendor
java.version, Java version
java.home, Java installation directory
java.class.version, Java class version
java.class.path, The classpath
os.name, Operating system name
os.arch, Operating system architecture
os.version, Operating system version
file.separator, File separator (such as / or \)
path.separator, Path separator (such as : or ;)
line.separator, Line separator (such as \n or \r\n)
user.name, User account name
user.home, User’s home directory

# Command-line Options for the jar Tool
Option | Description
-c, --create | Create a new JAR file.
-u, --update | Update an existing JAR file.
-x, --extract | Extract a named file or all files from a JAR file.
-t, --list | List the table of contents of a JAR file.
-f, --file=FILE | Specify the JAR file name.
-m , --manifest=FILE | Include the manifest information from the specified file.
-M, --no-manifest | Do not create a manifest file.
-i, --generate-index=FILE | Generate index information for the specified JAR file. It creates an INDEX.LIST file in JAR file under the META-INF directory.
-0, --no-compress | Do not compress the entries in the JAR file. Only store them. The option value is zero, which means zero compression.
-e, --main-class=CLASSNAME | Add the specified class name as the value for the Main-Class entry in the main section of the manifest file.
-v, --verbose | Generate verbose output on the standard output.
-C DIR | Change to the specified directory and include the following files in a JAR file. Note that the option is in uppercase (C). The lowercase (-c) is used to indicate the create JAR file option.
--release VERSION | Place all following files in a versioned directory of the JAR (i.e., META-INF/versions/VERSION/).
-d, --describe-module | Print the module descriptor, or automatic module name.
 --module-version=VERSION | The module version when creating a modular JAR or updating a non-modular JAR.
--hash-modules=PATTERN | Compute and record the hashes of modules matched by the given pattern and that depend directly or indirectly on a modular JAR being created or a non-modular JAR being updated.
-p, --module-path | Location of module dependence for generating the hash.
--version | Print the program version.
-h, --help[:compat], --help-extra | Print help for the jar tool.
